timestamp	commit	paper_manifest	hypothesis	train_score	exact_current_rate	stale_unit_rate	required_recall	projection_bytes	cache_prefix_reuse	transform_p95_ms	decision	notes
2026-08-20T19:53:40.948Z	3bcaadd1a141a2f139d1a9050df93ec7d9e146f5	n/a-smoke-only	CtxBench smoke v0.1 control-board snapshot	n/a	1.000000	0.000000	1.000000	502	0.203947	0.072	review	public-repo-smoke measurement row; not an autoresearch accept
2026-08-20T20:12:44.231Z	fbf13d64a46aed6ec909e3b3b44e239075d39eac	n/a-smoke-only	CtxBench smoke v0.1 control-board snapshot	n/a	1.000000	0.000000	1.000000	502	0.203947	0.060	review	public-repo-smoke measurement row; not an autoresearch accept
2026-08-20T20:13:00.000Z	fbf13d64a46aed6ec909e3b3b44e239075d39eac	442cd9e29a6550b3d539baa8522fd7c2c27fe8f9fef00d344ddf0092e5762e89	Document CORVUS sync_file/sync_context lifecycle on existing smoke traces	n/a	1.000000	0.000000	1.000000	502	0.203947	0.060	review	public-repo-smoke measurement; documented reproduction with ADR 0003 deviations; not an accept; not a CORVUS comparison claim
2026-08-20T20:13:47.880Z	6d82ed7bf2bbf7386614c2dc36dc45be20be6a25	n/a-smoke-only	CtxBench smoke v0.1 control-board snapshot	n/a	1.000000	0.000000	1.000000	502	0.203947	0.092	review	public-repo-smoke measurement row; not an autoresearch accept
2026-08-20T20:22:57.758Z	0247c3dbf320b775430b9c3944c2d339bc92a8fb	n/a-smoke-only	CtxBench smoke v0.1 control-board snapshot	n/a	1.000000	0.000000	1.000000	502	0.203947	0.080	review	public-repo-smoke measurement row; not an autoresearch accept
2026-08-20T20:23:32.540Z	0247c3dbf320b775430b9c3944c2d339bc92a8fb	n/a-smoke-only	Pi adapter smoke v0.1 request-capture on Flask/Express traces	n/a	0.000000	0.000000	1.000000	7361	0.018400	0.324	review	pi-adapter supported=true; freshness/uniqueness gates pass; file-level exact-current
2026-08-20T20:23:33.087Z	0247c3dbf320b775430b9c3944c2d339bc92a8fb	n/a-smoke-only	Pi adapter smoke v0.1 request-capture on Flask/Express traces	n/a	0.000000	0.000000	1.000000	7361	0.018400	0.280	review	pi-adapter supported=true; freshness/uniqueness gates pass; file-level exact-current
2026-08-20T20:23:33.607Z	0247c3dbf320b775430b9c3944c2d339bc92a8fb	n/a-smoke-only	CtxBench smoke v0.1 control-board snapshot	n/a	1.000000	0.000000	1.000000	502	0.203947	0.057	review	public-repo-smoke measurement row; not an autoresearch accept
2026-08-20T20:23:33.761Z	0247c3dbf320b775430b9c3944c2d339bc92a8fb	n/a-smoke-only	Pi adapter smoke v0.1 request-capture on Flask/Express traces	n/a	0.000000	0.000000	1.000000	7361	0.018400	0.312	review	pi-adapter supported=true; freshness/uniqueness gates pass; file-level exact-current
2026-08-20T20:27:20.205Z	b7a0b2abdb9a26a2bff62a340db5edccb006e6ed	n/a-smoke-only	Hermes adapter smoke v0.1 request-capture on Flask/Express traces	n/a	0.000000	0.000000	1.000000	7361	0.018400	0.358	review	hermes-adapter supported=true; freshness/uniqueness gates pass; file-level exact-current
